date,retail_sales_millions,mom_pct_change,yoy_pct_change,rolling_12m_avg,rolling_12m_std,year,month,is_recession
2006-10-01,351035,-0.05836465095091503,4.241090651011281,348490.6666666667,4380.767498830384,2006,10,False
2006-11-01,352116,0.3079465010611404,3.6491924207948223,349523.75,3496.7014878990567,2006,11,False
2006-12-01,356367,1.207272603346632,4.846202503714392,350896.4166666667,2449.541940795896,2006,12,False
2007-01-01,355792,-0.16135051786501098,1.7525395808547728,351407.0833333333,2785.0466442462603,2007,1,False
2007-02-01,356545,0.21164050906148368,2.744502494085377,352200.75,2778.536440290374,2007,2,False
2007-03-01,359415,0.8049474820850167,3.1743297823784156,353122.25,3190.952468952277,2007,3,False
2007-04-01,358562,-0.2373301058664734,2.4252153842638124,353829.75,3388.2703317372675,2007,4,False
2007-05-01,363085,1.2614275913231277,4.06891590161913,355012.75,3939.761278534575,2007,5,False
2007-06-01,360234,-0.7852155831279184,2.6907453070881937,355799.3333333333,3963.313405666719,2007,6,False
2007-07-01,361770,0.42638951348290544,2.800100023869323,356620.5,4103.91377501402,2007,7,False
2007-08-01,363676,0.5268540785581921,2.9412513975968446,357486.4166666667,4420.201259475098,2007,8,False
2007-09-01,365178,0.4130049824569104,3.968226853433543,358647.9166666667,4460.673786415133,2007,9,False
2007-10-01,367322,0.587110943156488,4.639708291196043,360005.1666666667,4411.260463723672,2007,10,False
2007-11-01,370776,0.940319392794331,5.29938997375865,361560.1666666667,4659.369911234908,2007,11,False
2007-12-01,366569,-1.1346473342395358,2.8627791013197124,362410.3333333333,4555.247111019203,2007,12,True
2008-01-01,367368,0.21796714943163042,3.253586365067229,363375.0,4241.16386256366,2008,1,True
2008-02-01,364126,-0.8824938481304834,2.126239324629431,364006.75,3655.481366763151,2008,2,True
2008-03-01,365164,0.28506615841770166,1.5995437029617587,364485.8333333333,3364.0991454818345,2008,3,True
2008-04-01,364816,-0.09529964618637532,1.7441892894394906,365007.0,2800.107562873637,2008,4,True
2008-05-01,368255,0.9426669882899974,1.423909002024315,365437.8333333333,2874.2530676674423,2008,5,True
2008-06-01,368926,0.18221069639243748,2.4128760749956957,366162.1666666667,2516.602284953358,2008,6,True
2008-07-01,367594,-0.36104801504909245,1.6098626198966182,366647.5,2123.43193482741,2008,7,True
2008-08-01,364611,-0.8114931146863125,0.25709697642957163,366725.4166666667,2019.0741108682128,2008,8,True
2008-09-01,358991,-1.5413687464174153,-1.694242259938994,366209.8333333333,3001.2126589545146,2008,9,True
2008-10-01,346137,-3.580591156881374,-5.767419321467271,364444.4166666667,6490.282406777248,2008,10,True
2008-11-01,332498,-3.9403473191250815,-10.323753425248672,361254.5833333333,10961.691860611352,2008,11,True
2008-12-01,324767,-2.325126767679808,-11.403582954368751,357771.0833333333,15012.809739191833,2008,12,True
2009-01-01,329787,1.5457235494985566,-10.22979682498203,354639.3333333333,16658.44812336394,2009,1,True
2009-02-01,328376,-0.4278519165400674,-9.818030022574609,351660.1666666667,17953.990333037556,2009,2,True
2009-03-01,322634,-1.7486052573878696,-11.646821702029776,348116.0,19200.46137229799,2009,3,True
2009-04-01,324323,0.5235034125355753,-11.099568001403448,344741.5833333333,19553.682473262324,2009,4,True
2009-05-01,327011,0.8288033842804854,-11.199847931460539,341304.5833333333,18648.784203404914,2009,5,True
2009-06-01,332227,1.5950533774093278,-9.947523351566435,338246.3333333333,16604.418411612332,2009,6,True
2009-07-01,333670,0.4343415797030348,-9.228659880193913,335419.3333333333,13805.55869162452,2009,7,False
2009-08-01,339586,1.7730092606467407,-6.8634791599814555,333333.9166666667,10486.129864630157,2009,8,False
2009-09-01,330998,-2.5289617357606042,-7.797688521439261,331001.1666666667,6683.888536600945,2009,9,False
2009-10-01,334595,1.0867135148852958,-3.334517835423545,330039.3333333333,4900.266529548588,2009,10,False
2009-11-01,337321,0.814716298809004,1.450535040812273,330441.25,5301.611386688282,2009,11,False
2009-12-01,338736,0.4194817399450379,4.301237502578781,331605.3333333333,5473.26228684639,2009,12,False
2010-01-01,339093,0.1053918095508033,2.8218213574216167,332380.8333333333,5839.245076259039,2010,1,False
